global_step,date,day_step,real_price,sim_price,best_bid,best_ask,spread_bps,imbalance,daily_sentiment,intraday_sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,total_volume,trade_count,fills_this_step
2562,2024-02-21,12,51849.39,55346.04611678382,55336.15457901682,55355.937654550835,3.574433391732208,-0.014384172488752943,0.56,0.3639192318290089,0.08448153640313684,0.27345830242836994,extreme_greed,5.626245393688885,63,5
2563,2024-02-21,13,51849.39,55342.79631086001,55336.15457901682,55349.4380427032,2.4002154881678535,-0.013890994208860969,0.56,0.3326495629495975,0.08046447377412547,0.26364585801621854,extreme_greed,5.877300167903965,66,3
2564,2024-02-21,14,51849.39,55342.59593292458,55336.15457901682,55349.03728683235,2.3278105405723823,-0.014340284027681845,0.56,0.3443505702407351,0.0982551383891236,0.26273134333264475,extreme_greed,6.540557857429132,72,6
2565,2024-02-21,15,51849.39,55342.59593292458,55336.15457901682,55349.03728683235,2.3278105405723823,-0.009673351947138212,0.56,0.350880566343179,0.10325947261641129,0.2787214241501572,extreme_greed,6.739620328066067,75,3
2566,2024-02-21,16,51849.39,55342.59593292458,55336.15457901682,55349.03728683235,2.3278105405723823,-0.009186201622471924,0.56,0.353247489178375,0.09105123522754202,0.28565141011445483,extreme_greed,7.12437072143939,77,2
2567,2024-02-21,17,51849.39,55342.79631086001,55336.15457901682,55349.4380427032,2.4002154881678535,-0.006424947494136827,0.56,0.3502821626613107,0.09159246685491744,0.27031615159227895,extreme_greed,7.487612275151398,81,4
2568,2024-02-21,18,51849.39,55345.73664263911,55335.53563072739,55355.937654550835,3.6862864352457327,-0.010025838346966883,0.56,0.35068316016152984,0.10964610478180922,0.2673181751554247,extreme_greed,7.8590794492203715,87,6
2569,2024-02-21,19,51849.39,55346.23265281836,55336.52765108589,55355.937654550835,3.5070143954878694,-0.012412325870181012,0.56,0.32599964032308243,0.10811434900445366,0.25835208906690765,extreme_greed,8.218129800273664,91,4
2570,2024-02-21,20,51849.39,55346.23265281836,55336.52765108589,55355.937654550835,3.5070143954878694,-0.01333999451084681,0.56,0.3406358057409866,0.10583748155549196,0.2906552523555422,extreme_greed,8.314181557438836,92,1
2571,2024-02-21,21,51849.39,55346.23265281836,55336.52765108589,55355.937654550835,3.5070143954878694,-0.0150311227640681,0.56,0.35099186386164594,0.08273253244640155,0.2524563446945926,extreme_greed,8.489418390409723,95,3
